"","rid","pid","GNIS_NA","HUC6","STATE","OBSPRED","TAILWAT","ELEV","CANOPY","SLOPE","PRECIP","CUMDRAI","Y_COORD","NLCD11P","BFI","temp","S30_204","S32_208","RepeatID","Yrange","size","F_BFI_H","barrier","length","numSpE","rchChng","NativNt","pNat","pComm","prsGlcE","prsGlcL","pisc","nClnzSp","FHMN","LNDC","CRCH","PKF","SDSH","LNSU","WSU","EB","CMSH","STR","JDT","BRSB","SMB","GSUN","CARP","YP","LL","PTMN","RB","LMB","MWF","NRBDC","LKCH","BRMN","IOWA","BLBH","NP","WSMN","PLMN","SCAT","SHRH","NPDC","WHCR","RKB","GSH","FHCH","SGR","WE","RCSU","PUMP","CCAT","RMCOT","PLSU","WS_PLMN","GE","ONC","SPSH","SPDC","MTSU","RMCT","RSSH","COLCOT","EMSH","HYBOG","BMSH","BHSU","FMSU","FMxWSU","DRUM","SMBUF","BMBUF","ODT","BLCR","FSDC","HHCH","GDF","BG","RDSH","GAM","GZS","TGT","YLBH","STCH","GILA","LING","QBK","SPK","LSCH","WCT","RTCH","SSTRG","LWF","WBS","SFCH","PSTRG","BSU","CIS","PF","GR","SMMN","BHxWSU","KOK","LT","snapdst","PU","rGlac","rPeri","rPela","rMont","ratio","snapdist","upDist","afvArea","locID","netID","netgeom","MOTCOT","pelagics_all","Turnover","geometry"
"11",349,11,"Horse Creek","1.018e","Wyoming",143873,0,1832.47,1.17,0.00368412,266.46,153.28,1409627,0.003,51,18.38,19.47,20.29,128,16,0.14133583,0.47355568,1,38.072,5,1,0,0.999,0.999,0.999,0.999,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020110888641529,"PLAT",0.999,0.999,NA,NA,0.366954974750881,0,663523.355113105,0.00213878065699169,11,1,"SNETWORK (1 349 663523.355113105 0.366954974750881 11 11)",0,NA,0.166666666666667,c(-892128.423629726, 2230969.14150556)
"12",376,12,"Sweetwater River","1.018e","Wyoming",142790,0,1887.8,8.61,0.00135135,277.41,4671.67,1394152,0.08,49,18.43,19.52,20.35,19,25,43.08095905,0.47180917,1,17.413,6,0,0,0.8,0.833333333333333,0.999,0.001,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027077778571684,"PLAT",0.999,0.999,NA,NA,0.600817065469618,1.16415321826935e-10,756682.303884708,0.0441976605377757,12,1,"SNETWORK (1 376 756682.303884708 0.600817065469618 12 12)",0,NA,0.285714285714286,c(-948359.602530952, 2226668.887763)
"13",381,13,"Long Creek","1.018e","Wyoming",145413,0,1976.09,1.56,0.00566391,302.26,267.96,1400412,0.002,58,15.38,16.39,17.16,194,21,0.26933286,0.37790019,0,16.932,3,1,0,0.999,0.999,0.999,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014723078195871,"PLAT",0.999,0.999,NA,NA,0.714336924980888,0,824982.829746782,0.0232555159069989,13,1,"SNETWORK (1 381 824982.829746782 0.714336924980888 13 13)",0,NA,0.25,c(-972483.022432005, 2238400.05074831)
"14",398,14,"Sweetwater River","1.018e","Wyoming",143417,0,2010.45,17.71,0.0026495,332.23,2183.69,1388216,0.138,65,17.47,18.54,19.35,17,18,36.17224963,0.44474832,1,23.167,7,1,2,0.999,0.857142857142857,0.999,0.999,0,2,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03578802634952,"PLAT",0.999,0.999,NA,NA,0.987164464020406,1.16415321826935e-10,869465.448910773,0.0209421446307769,14,1,"SNETWORK (1 398 869465.448910773 0.987164464020406 14 14)",0,NA,0.333333333333333,c(-998746.165895724, 2230629.90384166)
"15",430,15,"Sweetwater River","1.018e","Wyoming",143344,0,2297.39,27.6,0.00367802,377.08,427.72,1374854,0.028,59,16.12,17.15,17.93,20,18,14.60020586,0.304779,1,48.654,5,-2,-1,0.666666666666667,0.6,0.666666666666667,NA,1,0,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056441778220583,"PLAT",0.999,0.5,NA,NA,0.750610951765138,0,965865.301485658,0.0209421446307769,15,1,"SNETWORK (1 430 965865.301485658 0.750610951765138 15 15)",0,NA,0.4,c(-1056746.79327937, 2228872.48867732)
"16",443,16,"Sweetwater River","1.018e","Wyoming",141064,0,1786.34,1.68,0.00029344,254.49,6121,1397028,0.085,51,19.27,20.38,21.23,21,25,47.18497001,0.48669672,0,15.66,8,5,3,0.999,0.999,0.999,0.999,1,5,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007885844528253,"PLAT",0.999,0.999,NA,NA,0.266018518549661,1.16415321826935e-10,654413.488405706,0.0441976605377757,16,1,"SNETWORK (1 443 654413.488405706 0.266018518549661 16 16)",0,NA,0.384615384615385,c(-901799.79451282, 2220072.39541948)
"17",546,17,"Deer Creek","1.018e","Wyoming",146492,0,1516.92,22.82,0.00353029,321.62,552.01,1446203,0.001,47,19.21,20.32,21.17,109,11,9.49413569,0.3142068,0,30.423,8,1,0,0.714285714285714,0.75,0.666666666666667,0.75,1,3,1,1,1,NA,1,0,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020458935571111,"PLAT",0.999,0.5,NA,NA,0.0219328681619307,1.16415321826935e-10,481101.142706655,0.170577680095488,17,1,"SNETWORK (1 546 481101.142706655 0.0219328681619307 17 17)",0,NA,0.454545454545455,c(-800172.026016559, 2249535.78302415)
"18",553,18,"Deer Creek","1.018e","Wyoming",145475,0,1599.17,15.97,0.00985057,339.31,408.08,1434535,0.001,50,18.52,19.61,20.44,110,17,8.76697815,0.29635146,0,30.423,9,-2,-2,0.571428571428571,0.666666666666667,0.4,0.999,1,1,0,1,1,NA,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005900433013185,"PLAT",0.5,0.5,NA,NA,0.44077803952586,0,501265.492826925,0.170577680095488,18,1,"SNETWORK (1 553 501265.492826925 0.44077803952586 18 18)",0,NA,0.4,c(-809708.747989661, 2239638.45635823)
"19",557,19,"Deer Creek","1.018e","Wyoming",145200,0,1634.48,24.73,0.01116894,345.66,387.38,1432851,0.001,51,17.97,19.06,19.87,112,32,8.62493134,0.2925463,0,30.423,6,1,0,0.75,0.666666666666667,0.666666666666667,0.999,1,3,1,1,1,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005035977537664,"PLAT",0.999,0.5,NA,NA,0.105019686469649,0,504898.901120202,0.170577680095488,19,1,"SNETWORK (1 557 504898.901120202 0.105019686469649 19 19)",0,NA,0.555555555555556,c(-812387.904396397, 2238524.95184619)
"20",560,20,"Deer Creek","1.018e","Wyoming",143358,0,1713.98,18.54,0.02615828,423.36,363.53,1427877,0.001,52,17.14,18.2,19.01,111,17,8.39463348,0.28610058,0,30.423,4,-1,-2,0.333333333333333,0.25,0.333333333333333,NA,1,2,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017289365691315,"PLAT",0.5,0.001,NA,NA,0.269183300165776,0,510858.06229385,0.170577680095488,20,1,"SNETWORK (1 560 510858.06229385 0.269183300165776 20 20)",0,NA,0.833333333333333,c(-815097.110387302, 2234081.99957345)
"21",571,21,"Box Elder Creek","1.018e","Wyoming",143822,0,1869.3,6.95,0.03274539,398.46,359.23,1430661,0,50,18.34,19.43,20.26,89,31,6.37923309,0.25525434,1,61.595,5,0,-1,0.666666666666667,0.8,0.999,0.001,1,1,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061439822538703,"PLAT",0.999,0.999,NA,NA,0.93550021434478,1.16415321826935e-10,483933.272877727,0.00532570579075979,21,1,"SNETWORK (1 571 483933.272877727 0.93550021434478 21 21)",0,NA,0.333333333333333,c(-796095.681697642, 2232847.23182267)
"22",573,22,"Box Elder Creek","1.018e","Wyoming",143830,0,1604.22,26.68,0.03274539,398.46,359.23,1436252,0,50,19.4,20.52,21.36,88,31,6.38022454,0.25529027,1,61.595,7,-1,-1,0.6,0.714285714285714,0.5,0.999,1,1,NA,1,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004480985023638,"PLAT",0.999,0.5,NA,NA,0.796379158189512,0,475512.138633697,0.00532570579075979,22,1,"SNETWORK (1 573 475512.138633697 0.796379158189512 22 22)",0,NA,0.375,c(-793523.455476762, 2238477.18569893)
"23",582,23,"Box Elder Creek","1.018e","Wyoming",142402,0,1945.72,19.23,0.00794811,430.37,250.62,1423787,0,50,18.07,19.15,19.97,90,31,5.80781123,0.2316089,1,61.595,3,1,2,0.999,0.333333333333333,NA,0.999,1,3,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011698280558415,"PLAT",0.999,0.999,NA,NA,0.889630504460853,1.16415321826935e-10,495623.644712377,0.00532570579075979,23,1,"SNETWORK (1 582 495623.644712377 0.889630504460853 23 23)",0,NA,0.833333333333333,c(-798990.603325593, 2226046.33721713)
"24",597,24,"North Platte River","1.018e","Wyoming",146243,0,1577.43,4.02,1e-05,324.8,28858.64,1428519,0.555,49,19.23,20.34,21.18,246,56,1163.585415,0.18920797,1,136.275,10,-3,-6,0.3,0.3,0.5,0.001,0,4,1,1,0,NA,0,0,1,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01055709913105,"PLAT",0.75,0.5,0.001,NA,0.936635921631453,0,559905.713788691,0.165971601566882,24,1,"SNETWORK (1 597 559905.713788691 0.936635921631453 24 24)",0,0.001,0.785714285714286,c(-855212.559482378, 2242795.44281797)
