SampleNum,GNIS_NAME,Month,Year,Gear,Database,Party,HUC6,STATE,OBSPRED_ID,FTYPE,WATERBODY,TAILWATER,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAINAG,Y_COORD,NLCD11PC,GLACIER,BFI,Air_Aug,Flow_Aug,COMID,S1_93_11,S30_2040D,S32_2080D,RepeatID,TIME,HUC2,HUC4,Yrange,LATITUDE,LONGITUDE,F_MAUG_HIS,F_BFI_HIST,FireYear,DSbarrier,FRAG_NUM,Length_km,EB,LL,GR,ONC,TGT,SPK,WCT,CIS,LWF,RB,KOK,MWF,LT,LMB,SMB,BG,PUMP,GSUN,BLCR,WHCR,WBS,RKB,NRBDC,BMSH,CMSH,LSCH,RDSH,RTCH,LKCH,HHCH,GILA,SMMN,WSMN,BRMN,PLMN,WS_PLMN,STCH,FSDC,SFCH,NPDC,STR,GSH,EMSH,SPSH,SDSH,FHMN,FHCH,SPDC,LNDC,RSSH,CRCH,GDF,CARP,BLBH,YLBH,CCAT,SCAT,LING,DRUM,PKF,PTMN,GE,PF,IOWA,JDT,ODT,YP,SGR,WE,NP,RMCOT,COLCOT,BRSB,PSTRG,SSTRG,RCSU,LNSU,WSU,MTSU,PLSU,BSU,SMBUF,BMBUF,BHSU,BHxWSU,FMSU,FMxBHSU,FMxWSU,QBK,SHRH,GAM,GZS,HYBOG,RMCT,numSp,PU
N49,Cache la Poudre River,0,2017,,Haworth & Bestgen 2024,,101900,Colorado,113210,StreamRiver,0,0,1497.46,11.33,0.00274082,380,2978.13,1200728.15,0.489086,-9999,61,18.13,7.11,2899997,18.09,18.94,19.52,454,LATE,10,1019,25,40.578992,-105.03935,367.5186986,0.22224844,0,1,168,0.796,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,PLAT
N48,Cache la Poudre River,0,1993,,Haworth & Bestgen 2024,,101900,Colorado,113210,StreamRiver,0,0,1497.46,11.33,0.00274082,380,2978.13,1200728.15,0.489086,-9999,61,18.13,7.11,2899997,18.09,18.94,19.52,454,EARLY,10,1019,25,40.578992,-105.03935,367.5186986,0.22224844,0,1,168,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,PLAT
N47,Cache la Poudre River,0,2017,,Haworth & Bestgen 2024,,101900,Colorado,113204,StreamRiver,0,0,1513.24,10,0.00369896,398.3,2959.24,1202577.87,0.489135,-9999,61,18.13,7.11,2899931,17.43,18.28,18.86,453,LATE,10,1019,25,40.59874,-105.081849,367.456823,0.22216892,0,1,167,3.059,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N46,Cache la Poudre River,0,1993,,Haworth & Bestgen 2024,,101900,Colorado,113204,StreamRiver,0,0,1513.24,10,0.00369896,398.3,2959.24,1202577.87,0.489135,-9999,61,18.13,7.11,2899931,17.43,18.28,18.86,453,EARLY,10,1019,25,40.59874,-105.081849,367.456823,0.22216892,0,1,167,3.059,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,PLAT
N44,Cache la Poudre River,0,2001,,Haworth & Bestgen 2024,,101900,Colorado,113198,StreamRiver,0,0,1536.87,13.8,0.00514126,404.3,2930.62,1204455.72,0.45356,-9999,61,18.13,7.11,2899849,17.23,18.09,18.67,452,EARLY,10,1019,13,40.623466,-105.140776,367.3532341,0.22202403,0,1,166,1.646,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N45,Cache la Poudre River,0,2013,,Haworth & Bestgen 2024,,101900,Colorado,113198,StreamRiver,0,0,1536.87,13.8,0.00514126,404.3,2930.62,1204455.72,0.45356,-9999,61,18.13,7.11,2899849,17.23,18.09,18.67,452,LATE,10,1019,13,40.623466,-105.140776,367.3532341,0.22202403,0,1,166,1.646,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N43,Cherry Creek,0,2015,Electrofishing,RivFishTime,,101900,Colorado,106793,StreamRiver,0,0,1582.18,3.76,0.00577162,394.7,1057.22,1109399.4,0.411939,-9999,50,18.13,7.11,233727,20.18,21.04,21.62,451,LATE,10,1019,23,39.742551,-104.999822,4.75554837,0.61913147,0,1,173,3.907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PLAT
N42,Cherry Creek,0,1993,Electrofishing,RivFishTime,,101900,Colorado,106793,StreamRiver,0,0,1582.18,3.76,0.00577162,394.7,1057.22,1109399.4,0.411939,-9999,50,18.13,7.11,233727,20.18,21.04,21.62,451,EARLY,10,1019,23,39.742551,-104.999822,4.75554837,0.61913147,0,1,173,3.907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N37,Big Warm Creek,7,2005,Seine,Stagliano 2007,Stagliano,100500,Montana,216184,StreamRiver,0,0,845.289978,0,0.00286929,330.3930078,76.4847,2002398.459,0.05,-9999,40,20.68,29.05,12295394,18.94,20.11,21.35,450,EARLY,10,1005,18,48.03797,-108.329785,1.50306956,0.12916824,0,0,36,111.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,UPMO
N36,Big Warm Creek,10,2022,Seine,FishMT,Nagel,100500,Montana,216184,StreamRiver,0,0,845.289978,0,0.00286929,330.3930078,76.4847,2002398.459,0.05,-9999,40,20.68,29.05,12295394,18.94,20.11,21.35,450,LATE,10,1005,18,48.04694,-108.31786,1.72279683,0.13316072,0,0,36,111.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,UPMO
N35,Peoples Creek,10,2022,Seine,FishMT,Nagel,100500,Montana,227236,StreamRiver,0,0,704.89,0,0.00099638,303.697,1795.906,2038778,0.28,-9999,31,20.68,29.05,12532566,19.42,20.61,21.86,449,LATE,10,1005,23,48.363837,-108.357657,40.54020368,0.15967015,0,1,23,167.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,UPMO
31723,Peoples Creek,8,2000,Seine | Seine,"Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert",100500,Montana,227236,StreamRiver,0,0,704.89,0,0.00099638,303.697,1795.906,2038778,0.28,-9999,31,20.68,29.05,12532566,19.42,20.61,21.86,449,EARLY,10,1005,23,48.364373,-108.358606,40.54020368,0.15967015,0,1,23,167.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,UPMO
29360,,8,2000,Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine,"Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",100500,Montana,249522,StreamRiver,0,0,762.4400024,0,0.00092814,295.5919922,863.0838,2110900.733,0.017,-9999,14,20.68,29.05,12289062,19.43,20.63,21.88,448,EARLY,10,1005,24,48.940919,-106.855,18.84535459,0.18158664,0,0,43,99.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,UPMO
N34,Rock Creek,8,2023,Seine,FishMT,"Krebs, Cody",100500,Montana,249522,StreamRiver,0,0,762.4400024,0,0.00092814,295.5919922,863.0838,2110900.733,0.017,-9999,14,20.68,29.05,12289062,19.43,20.63,21.88,448,LATE,10,1005,24,48.940955,-106.855221,18.84535459,0.18158664,0,0,43,99.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,UPMO
N33,Plentywood Creek,8,2023,Seine,FishMT,"Krebs, Cody",100600,Montana,250131,StreamRiver,0,0,663.52,0.1463415,0.00288847,342.91,161.2665,2115460,0.055,-9999,23,20.68,29.05,3096269,20.93,22.16,23.46,447,LATE,10,1006,16,48.825431,-104.685384,4.35379971,0.1965059,0,0,54,40.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,UPMO
31941,Plentywood Creek,0,2008,S,Kirk 2020,MFWP Data,100600,Montana,250131,StreamRiver,0,0,663.52,0.1463415,0.00288847,342.91,161.2665,2115460,0.055,-9999,23,20.68,29.05,3096269,20.93,22.16,23.46,447,EARLY,10,1006,16,48.839373,-104.732524,4.16872884,0.19648066,0,0,54,40.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,UPMO
N32,Beaver Creek,8,2023,Seine,FishMT,"Krebs, Cody",100600,Montana,251164,StreamRiver,0,0,645.79,0,0.00088857,347.755,529.9434,2123982,0.016,-9999,21,20.68,29.05,3096165,21.11,22.35,23.65,446,LATE,10,1006,26,48.943755,-104.974169,15.20933836,0.1779335,0,0,50,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,UPMO
7196,Beaver Creek,10,1998,0,MT Natural Heritage Program,"Dood, Arnie and Gould",100600,Montana,251164,StreamRiver,0,0,645.79,0,0.00088857,347.755,529.9434,2123982,0.016,-9999,21,20.68,29.05,3096165,21.11,22.35,23.65,446,EARLY,10,1006,26,48.931363,-104.9373,15.20933836,0.1779335,0,0,50,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,UPMO
14915,Eagle Creek,8,2002,Seine | Seine | Seine | Seine | Seine | Seine,"Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",100600,Montana,248068,StreamRiver,0,0,807.27,0,0.00312212,345.498,65.7657,2103525,0.144,-9999,20,20.68,29.05,3094629,19.32,20.5,21.75,445,EARLY,10,1006,21,48.764039,-105.173924,1.53502095,0.1756761,0,0,53,58.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,UPMO
N31,Eagle Creek,9,2022,Seine,FishMT,"Krebs, Cody",100600,Montana,248068,StreamRiver,0,0,807.27,0,0.00312212,345.498,65.7657,2103525,0.144,-9999,20,20.68,29.05,3094629,19.32,20.5,21.75,445,LATE,10,1006,21,48.780895,-105.036772,4.13818713,0.18482996,0,0,53,58.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,UPMO
N38,Otter Creek,0,1979,Seine,Clancy et al. 1980,C. Clancy,100901,Montana,119250,StreamRiver,0,0,895.41,0,0.00162087,359.916,1842.76,1743570,0,-9999,54,20.68,29.05,12754833,21.57,22.83,24.14,444,EARLY,10,1009,30,45.60518,-106.267706,21.60058167,0.16065651,0,0,88,89.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,YELL
31288,Otter Creek,6,2008,0 | | | |,Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Inf,"0 | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson",100901,Montana,119250,StreamRiver,0,0,895.41,0,0.00162087,359.916,1842.76,1743570,0,-9999,54,20.68,29.05,12754833,21.57,22.83,24.14,444,LATE,10,1009,30,45.583767,-106.255632,21.60058167,0.16065651,0,0,88,89.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,YELL
N39,Otter Creek,0,1979,Seine,Clancy et al. 1980,C. Clancy,100901,Montana,117017,StreamRiver,0,0,921.11,0,0.00162874,358.288,1388.683,1736046,0,-9999,53,20.68,29.05,12754357,21.31,22.55,23.86,443,EARLY,10,1009,22,45.51763,-106.183507,17.31613485,0.15367004,0,0,88,89.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,YELL
