RepeatID,mode_code,mode_name
106,82,Cultivated Crops
105,81,Pasture/Hay
104,52,Shrub/Scrub
103,52,Shrub/Scrub
102,52,Shrub/Scrub
101,82,Cultivated Crops
100,82,Cultivated Crops
99,71,Grassland/Herbacous
98,71,Grassland/Herbacous
97,71,Grassland/Herbacous
96,71,Grassland/Herbacous
95,71,Grassland/Herbacous
94,71,Grassland/Herbacous
93,71,Grassland/Herbacous
92,52,Shrub/Scrub
91,52,Shrub/Scrub
90,52,Shrub/Scrub
89,52,Shrub/Scrub
88,52,Shrub/Scrub
87,81,Pasture/Hay
86,52,Shrub/Scrub
85,52,Shrub/Scrub
84,52,Shrub/Scrub
83,52,Shrub/Scrub
82,52,Shrub/Scrub
81,52,Shrub/Scrub
80,52,Shrub/Scrub
79,52,Shrub/Scrub
78,52,Shrub/Scrub
77,52,Shrub/Scrub
76,52,Shrub/Scrub
75,81,Pasture/Hay
74,71,Grassland/Herbacous
73,52,Shrub/Scrub
71,71,Grassland/Herbacous
70,52,Shrub/Scrub
67,52,Shrub/Scrub
65,71,Grassland/Herbacous
64,71,Grassland/Herbacous
63,71,Grassland/Herbacous
62,71,Grassland/Herbacous
61,71,Grassland/Herbacous
60,71,Grassland/Herbacous
59,52,Shrub/Scrub
58,52,Shrub/Scrub
57,52,Shrub/Scrub
56,52,Shrub/Scrub
55,52,Shrub/Scrub
54,52,Shrub/Scrub
53,52,Shrub/Scrub
52,52,Shrub/Scrub
51,52,Shrub/Scrub
50,52,Shrub/Scrub
49,52,Shrub/Scrub
48,82,Cultivated Crops
47,52,Shrub/Scrub
46,52,Shrub/Scrub
45,71,Grassland/Herbacous
44,52,Shrub/Scrub
43,52,Shrub/Scrub
42,71,Grassland/Herbacous
41,71,Grassland/Herbacous
40,52,Shrub/Scrub
39,22,"Developed, Low Intensity"
38,52,Shrub/Scrub
37,52,Shrub/Scrub
36,52,Shrub/Scrub
35,52,Shrub/Scrub
34,82,Cultivated Crops
33,52,Shrub/Scrub
32,52,Shrub/Scrub
31,52,Shrub/Scrub
30,81,Pasture/Hay
29,71,Grassland/Herbacous
28,52,Shrub/Scrub
27,71,Grassland/Herbacous
26,52,Shrub/Scrub
25,52,Shrub/Scrub
24,81,Pasture/Hay
23,71,Grassland/Herbacous
22,71,Grassland/Herbacous
21,52,Shrub/Scrub
20,52,Shrub/Scrub
19,52,Shrub/Scrub
17,52,Shrub/Scrub
16,71,Grassland/Herbacous
15,82,Cultivated Crops
14,71,Grassland/Herbacous
12,52,Shrub/Scrub
11,42,Evergreen Forest
10,71,Grassland/Herbacous
9,52,Shrub/Scrub
8,52,Shrub/Scrub
7,52,Shrub/Scrub
6,52,Shrub/Scrub
5,52,Shrub/Scrub
4,81,Pasture/Hay
3,52,Shrub/Scrub
2,52,Shrub/Scrub
1,52,Shrub/Scrub
