"","GNIS_NAME.x","Month.x","Gear.x","Database.x","Party.x","RepeatID","F_MAUG_HIS.x","GNIS_NAME.y","Month.y","Gear.y","Database.y","Party.y","F_MAUG_HIS.y"
"38","Pondera Coulee",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",421,15.93850217,"Pondera Coulee",7,"Seine","UWYO","Clancy, Newkirk,Capone,Webster",15.93850217
"39","Stinky Creek",7,"Seine","MFISH","Lott & Davis",420,2.54629709,"Stinky Creek",6,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",2.54629709
"40","East Fork Stinky Creek",7,"Seine","MFISH","Lipscomb",419,1.82845825,"East Fork Stinky Creek",6,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",1.82845825
"41","Whitetail Creek",10,"Seine","MFISH","Stagliano",418,3.53977447,"Whitetail Creek",6,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",3.77503101
"42","Middle Fork Eagle Creek",6,"0","MFISH","N.Wormgoor/B.Lipscomb",417,1.12134808,"",9,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",1.12134808
"43","West Charlie Creek",7,"Seine","MFISH","Bramblett",416,22.5496379,"West Charlie Creek",6,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",8.08561185
"44","Morgan Creek",6,"Seine","MFISH","0",415,0.14898044,"Morgan Creek",7,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",1.17196631
"45","Little Beaver Creek",0,"Electrofishing","Barfoot 1993","C. Barfoot",414,8.26027336,"Little Beaver Creek",9,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",8.26027336
"46","Assiniboine Creek",8,"Seine | Seine | 0","Montana Fish, Wildlife & Parks | MT Natural Heritage Program","Lott, Ryan | Lott, Ryan | FWP Personnel",413,5.74435084,"Assiniboine Creek",6,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",5.74435084
"47","Big Warm Creek",6,"0","MT Natural Heritage Program","Stagliano, David",412,1.50306956,"Big Warm Creek",7,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",2.49457231
"48","Little Warm Creek",6,"0","MT Natural Heritage Program","Stagliano, David",411,0.8287516,"Little Warm Creek",7,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",0.8287516
"49","Porcupine Creek",9,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",410,47.68009349,"Porcupine Creek",7,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",47.68009349
"50","Little Porcupine Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | 0","Montana Fish, Wildlife & Parks | MT Natural Heritage Program","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert G.",409,16.81753105,"Little Porcupine Creek",6,"Unknown | Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer | Allison Stringer",16.41708996
"51","Wolf Creek",7,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",408,12.84779787,"Wolf Creek",8,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",12.84779787
"52","Plentywood Creek",9,"0","MT Natural Heritage Program","Stagliano, David",407,4.16872884,"Plentywood Creek",6,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",4.16872884
"53","Smoke Creek",7,"Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert",406,17.05963544,"Smoke Creek",8,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",17.05963544
"54","Smith Creek",6,"Seine | Seine | Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data","| |",405,10.59114534,"Smith Creek",6,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",10.59114534
"55","Snake Creek",9,"| | |","Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility","Wannamaker, D | Wannamaker, D | Wannamaker, D | Wannamaker, D",404,4.1709381,"Snake Creek",9,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",4.9501121
"56","Bullhook Creek",0,"S","Kirk 2020","MFWP Data",403,3.32634899,"Bullhook Creek",7,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",3.32634899
"57","Fords Creek",9,"Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",402,4.16730614,"Fords Creek",7,"Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer",4.10644239
"58","McDonald Creek",8,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa",401,12.19237738,"McDonald Creek",7,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",12.19237738
"59","Currant Creek",8,"Seine | Seine | Seine | Seine | 0","Montana Fish, Wildlife & Parks | MT Natural Heritage Program","Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | FWP Personnel",400,2.01427454,"Currant Creek",8,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",2.01427454
"60","Big Coulee",10,"0 | Beach Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks","0 | Tabor, Stearns",399,0.99944506,"Big Coulee",6,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",0.99944506
"61","Little Casino Creek",5,"Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack shocking | Backpack Electrofisher | Backpack Electrofisher","Montana Fish, Wildlife & Parks | Montana Fish, Wildlife & Parks | Montana Fish, Wildlife & Parks","Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | Tews, Anne | |",398,0.35304247,"",8,"Unknown | Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer | Allison Stringer",0.37595667
"62","Beaver Creek",7,"Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher","Montana Fish, Wildlife & Parks","| | | | |",397,3.0708921,"Beaver Creek",8,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",3.68502653
"63","Careless Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",396,28.6215954,"Careless Creek",8,"Unknown | Unknown | Unknown","Montana Fish, Wildlife & Parks","Allison Stringer | Allison Stringer | Allison Stringer",29.27663023
"64","",6,"Beach Seine | Beach Seine | Beach Seine","Montana Fish, Wildlife & Parks","Tabor, Bateman | Tabor, Bateman | Tabor, Bateman",395,0.62937782,"",7,"Unknown","Montana Fish, Wildlife & Parks","Allison Stringer",0.62937782
"65","Beaver Creek",0,"Seine","Elser et al. 1978","Clancey, Morris",393,12.13807993,"Beaver Creek - Wibeaux",8,"0","0","0",12.13807993
"66","Gap Creek",7,"Backpack electrofishing unit | Backpack electrofishing unit","Wyoming Game & Fish Dept","B & FM44 | B & FM44",392,1.65999605,"Gap Creek",6,"0","0","0",1.65999605
"67","South Fork McDonald Creek",7,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa",391,2.57090472,"So. Fork McDonald Creek",6,"0","0","0",2.57090472
"68","Sage Creek",1,"Minnow seine | Minnow seine | Minnow seine | Minnow seine | Minnow seine | Minnow seine | Minnow seine","Wyoming Game & Fish Dept","T. Patton | T. Patton | T. Patton | T. Patton | T. Patton | T. Patton | T. Patton",390,8.48542044,"Sage Creek",8,"0","0","0",8.48542044
"69","Sage Creek",8,"0","WGFD(Gelwicks)","Gelwicks",389,2.46151557,"Sage Creek",6,"0","0","0",2.46151557
"70","Ryckman Creek",6,"0 | 0","Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | Gelwicks",388,1.75562689,"Ryckman Creek",6,"0","0","0",1.75562689
"71","Sacagawea River",7,"Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",387,6.03171075,"Sacagawea Creek",7,"0","0","0",6.03171075
"72","Pryor Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale",386,68.9871524,"Pryor Creek",7,"0","0","0",69.84854386
"73","Prairie Elk Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan | Lott, Ryan",385,11.20885949,"Prairie Elk Creek",8,"0","0","0",11.20885949
"74","Polecat Creek",11,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpa","Wyoming Game & Fish Dept","D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.G. | D.",384,0.3118959,"Polecat Creek",8,"0","0","0",0.3118959
"75","Pass Creek",8,"Backpack electrofisher | Backpack electrofisher | Backpack electrofisher | Backpack electrofisher | Backpack electrofisher | Backpack electrofisher | Backpack electrofisher | Backpack electrofisher","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton",383,22.97974496,"Pass Creek",7,"0","0","0",22.97974496
"76","Pacific Creek",8,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",382,0.8613036,"Pacific Creek",7,"0","0","0",0.8613036
"77","O'Fallon Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Barnes, Mark | Barnes, Mark | Barnes, Mark | Barnes, Mark | Barnes, Mark | Barnes, Mark | Barnes, Mark | Barnes, Mark",381,52.0880826,"O'Fallon Creek",7,"0","0","0",52.0880826
"78","North Muddy Creek",6,"0 | 0","Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | Gelwicks",380,0.55938827,"North Muddy Creek",8,"0","0","0",0.55938827
"79","",1,"Minnow seine | Minnow seine | Minnow seine | Minnow seine | Minnow seine","Wyoming Game & Fish Dept","T. Patton | T. Patton | T. Patton | T. Patton | T. Patton",379,21.22813372,"Gooseberry Creek",7,"0","0","0",21.27238491
"80","Nelson Creek",8,"0 | 0","MT Natural Heritage Program | MT Natural Heritage Program","Gustafson, Daniel L. | Gustafson, Daniel L.",378,1.3987846,"Nelson Creek",8,"0","0","0",1.35159703
"81","Muddy Creek",0,"E/S","Kirk 2020","Patton 1998",377,5.37008904,"Muddy Creek",7,"0","0","0",5.37008904
"82","Muddy Creek",7,"0","Wyoming Game & Fish Dept","0",376,3.39495508,"Muddy Creek",7,"0","0","0",3.31266639
"83","Little Warm Creek",6,"0","MT Natural Heritage Program","Stagliano, David",375,0.8287516,"Little Warm Creek",6,"0","0","0",0.8287516
"84","Medicine Bow River",0,"S","Kirk 2020","Baxter and Simon 1960's",374,216.7895805,"Medicine Bow River",7,"0","0","0",216.7895805
"85","Little Sandy Creek",7,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",373,7.51985213,"Little Sandy Creek",7,"0","0","0",7.51985213
"86","Little Missouri River",7,"| | | | | | | | |","Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility","Cross, Frank B; Winstel, Al; Jones, J Knox | Cross, Frank B; Winstel, Al; Jones, J Knox | Cross, Frank B; Winstel, Al; Jones, J Knox | Cross, Frank B; Winstel, Al; Jones, J Knox | Cross, Frank B; Winstel, Al; Jones, J Knox | Cross, Frank B; Winstel, Al;",372,99.10784895,"Little Missouri River",8,"0","0","0",99.10784895
"87","Little Cottonwood Creek",8,"0","WGFD(Gelwicks)","Gelwicks",371,1.83962127,"Little Cottonwood Creek",7,"0","0","0",1.83962127
"88","Little Bitter Creek",7,"0","WGFD(Gelwicks)","Gelwicks",370,3.74963439,"Little Bitter Creek",6,"0","0","0",3.74963439
"89","H S Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",369,0.97261495,"HS Creek",8,"0","0","0",0.97261495
"90","Kill Woman Creek",7,"Gill netting | Gill netting","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert",368,0.72721708,"Kill Woman Creek",7,"0","0","0",0.72721708
"91","Kirby Creek",9,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpa","Wyoming Game & Fish Dept","MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY",367,2.09441085,"Kirby Creek",7,"0","0","0",2.09441085
"92","Jack Morrow Creek",6,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",366,4.42888928,"Jack Morrow Creek",7,"0","0","0",4.42888928
"93","Fly Creek",9,"Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert",365,10.08365326,"Fly Creek",6,"0","0","0",10.35734842
"94","Fontenelle Creek",9,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",364,13.33378221,"Fontenelle Creek",8,"0","0","0",13.32914357
"95","Fish Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",363,23.72343863,"Fish Creek",7,"0","0","0",23.72343863
"96","Elbow Creek",7,"Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale | Nixdorf, Dale",362,5.95507071,"Elbow Creek",6,"0","0","0",5.95507071
"97","Goose Creek",0,"E","Kirk 2020","Wesche and Johnson 1981",361,75.70858735,"Goose Creek",8,"0","0","0",75.65843563
